#separator:tab
#html:true
#columns:Sentence	Label	Sense	Pattern	Trajector	Landmark	FrameOfRef	ImageSchema	MainUse	QuickCue	Contrast	WhenNotToUse	Tags
The argument is <b>antithetical to</b> established doctrine.	antithetical to (adj+prep-C1)	dependent	Adj + antithetical to + opposed-N					Directly opposite or completely opposed to	fundamental opposition	opposite to (less formal) / contradictory to (less elegant)	when describing similarity	module:06 sense:dependent type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no dependent:adjective
Her theories proved <b>prescient of</b> later developments.	prescient of (adj+prep-C1)	dependent	Adj + prescient of + foreseen-event					Showing or knowing in advance; foreseeing future events	advance knowledge/foresight	predictive of (less formal) / foreseeing (less elegant)	when lacking foresight	module:06 sense:dependent type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no dependent:adjective
The decision seemed <b>inapt</b> for such circumstances; his response was <b>apposite to</b> the question.	apposite to (adj+prep-C1)	dependent	Adj + apposite to + relevant-context					Appropriate and relevant to the context; fitting	contextual appropriateness	suitable for (less formal) / appropriate to (less elegant)	when irrelevant	module:06 sense:dependent type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no dependent:adjective
The company is <b>at variance</b> with regulatory expectations.	at variance (idiomatic-state-B2)	idiomatic	be + at variance + with-contrary-element					Disagreeing or conflicting with something	disagreement/conflict state	in disagreement with (less idiomatic) / conflicting with (less formal)	when in perfect agreement	module:09 sense:idiomatic type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:no mnemonic:yes
The market is <b>on the brink</b> of collapse.	on the brink (idiomatic-threshold-B2)	idiomatic	be + on the brink + of-threshold-event					On the edge of a significant event, often negative	imminent threshold	on the edge (less formal) / about to (less vivid)	when stable and distant	module:09 sense:idiomatic type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no mnemonic:yes
Reform efforts operated <b>under the auspices of</b> international bodies.	under the auspices of (idiomatic-sponsorship-B2)	idiomatic	V + under the auspices of + sponsoring-agent					Under the sponsorship, protection, or authority of	sponsorship/authority marking	under the supervision of (less formal) / sponsored by (less elevated)	when independent or unsupported	module:09 sense:idiomatic type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:no mnemonic:yes
The society stands <b>on the verge</b> of major transformation.	on the verge (idiomatic-threshold-imminent-B2)	idiomatic	be + on the verge + of-impending-event					At the threshold of something about to happen	imminent/threshold state	on the edge (less formal) / about to (conversational)	when distant from change	module:09 sense:idiomatic type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no mnemonic:yes
The project was placed <b>at one's disposal</b> for the director.	at one's disposal (idiomatic-availability-C1)	idiomatic	be + at + possessive-pronoun + disposal					Available for someone's use or control	formal availability	at your service (less archaic) / available to (less elevated)	when withheld or unavailable	module:09 sense:idiomatic type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no mnemonic:yes
Innovation is <b>on the cusp</b> of revolutionary change.	on the cusp (idiomatic-threshold-transition-C1)	idiomatic	be + on the cusp + of-new-era					At the precise point where major change begins	transformational threshold	on the verge (less precise) / about to (less elegant)	when change is distant	module:09 sense:idiomatic type:recognition frequency:mid register:formal cefr:c1 image-schema:none generalisable:no mnemonic:yes
The nation finds itself <b>in the throes</b> of civil upheaval.	in the throes (idiomatic-struggle-C1)	idiomatic	be + in the throes + of-intense-struggle					In the midst of intense struggle or violent change	acute struggle/crisis	in the midst of (less dramatic) / during (less archaic)	when calm	module:09 sense:idiomatic type:recognition frequency:mid register:formal cefr:c1 image-schema:none generalisable:no mnemonic:yes
The directive was issued <b>at the behest</b> of the president.	at the behest (idiomatic-command-C1)	idiomatic	V + at the behest + of-commanding-agent					At the command or urgent request of someone in authority	authority-driven instruction	at the request (less formal) / by order of (less elegant)	when acting independently	module:09 sense:idiomatic type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no mnemonic:yes
The initiative flourishes <b>under the aegis</b> of corporate sponsorship.	under the aegis (idiomatic-protection-C1)	idiomatic	V + under the aegis + of-protecting-agent					Under the protection, support, or auspices of	formal protective sponsorship	under the protection of (wordier) / under sponsorship (less formal)	when independent	module:09 sense:idiomatic type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no mnemonic:yes
Reform succeeded <b>on the strength</b> of popular mandate.	on the strength (idiomatic-basis-C1)	idiomatic	V + on the strength + of-supporting-factor					Based on the power or support of a factor	support/basis marking	based on (less formal) / because of (less elegant)	when lacking clear support	module:09 sense:idiomatic type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:no mnemonic:yes
Success came <b>through</b> sustained effort and discipline.	by dint of (idiomatic-causation-dint-C1)	idiomatic	N + by dint of + means-of-achievement					Through the force, power, or exertion of something	means/mechanism of causation	through (less formal) / by means of (less archaic)	when success was accidental	module:09 sense:idiomatic type:recognition frequency:mid register:formal cefr:c1 image-schema:none generalisable:no mnemonic:yes
Entry is forbidden <b>under no circumstances</b> without authorization.	under no circumstances (idiomatic-prohibition-C1)	idiomatic	clause + under no circumstances + action					Absolute prohibition; never, under any condition	absolute negation	never (less emphatic) / not at all (less formal)	when some exceptions exist	module:09 sense:idiomatic type:recognition frequency:high register:formal cefr:c1 image-schema:none generalisable:no mnemonic:yes
The decision <b>hinges on</b> market conditions.	hinges on (verb+prep-B2)	dependent	V + hinges on + determining-factor					Depending critically on a factor; outcome determined by	critical dependence	depends on (less formal) / rests on (less colloquial)	when outcome is independent	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b2 image-schema:none generalisable:no dependent:verb
She <b>bristles at</b> any suggestion of criticism.	bristles at (verb+prep-B2)	dependent	V + bristles at + triggering-remark					Reacting with immediate anger or resentment	angry reaction	reacts to (less visceral) / gets upset at (less formal)	when remaining calm	module:05 sense:dependent type:recognition frequency:mid register:neutral cefr:b2 image-schema:none generalisable:no dependent:verb
The evidence <b>corroborates</b> the eyewitness account.	corroborate (verb-B2)	dependent	V + corroborate + supporting-N					Providing confirmation or supporting evidence	evidential support	confirms (less formal) / backs up (colloquial)	when contradicting	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b2 image-schema:none generalisable:no dependent:verb
His behavior is <b>amenable to</b> behavioral intervention.	amenable to (adj+prep-B2)	dependent	Adj + amenable to + favorable-treatment					Willing to accept or responsive to influence	responsiveness to treatment	open to (less formal) / receptive to (less academic)	when resistant	module:06 sense:dependent type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:no dependent:adjective
The solution is <b>incumbent on</b> all stakeholders.	incumbent on (adj+prep-B2)	dependent	Adj + incumbent on + responsible-party					Morally or formally obligatory for someone	duty/obligation assignment	binding on (less formal) / required of (less legal)	when optional	module:06 sense:dependent type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:no dependent:adjective
The proposal seems <b>consonant with</b> our values.	consonant with (adj+prep-B2)	dependent	Adj + consonant with + aligned-value					In agreement or harmony with something	harmony/agreement state	consistent with (less formal) / in line with (less elegant)	when conflicting	module:06 sense:dependent type:recognition frequency:low register:formal cefr:b2 image-schema:none generalisable:no dependent:adjective
